,manhattan,tip,dist,speed,pass
419906,1,1,6,3,2
420071,1,1,3,3,1
420410,1,5,6,3,4
420493,2,6,1,1,4
420751,1,3,2,1,1
422021,1,1,1,1,1
422354,1,1,4,3,1
422676,1,3,5,5,1
423700,2,1,1,1,1
424448,2,1,1,1,1
424452,2,1,2,2,1
424490,2,1,1,2,1
424492,2,3,2,2,2
424894,1,1,1,2,1
424980,1,2,5,4,1
425296,1,6,5,4,2
425711,2,2,2,2,1
425973,2,2,1,2,1
426015,2,2,2,3,1
426077,2,4,1,2,3
426078,2,1,2,2,1
426367,1,1,6,5,1
426621,2,4,1,2,2
427206,1,1,1,2,3
427212,1,1,6,5,2
427893,1,1,2,2,1
428525,2,1,4,5,4
429687,2,1,1,1,1
431028,1,1,6,4,4
431183,2,1,4,2,1
431190,2,1,3,3,1
431714,1,1,4,5,1
432296,2,3,4,3,1
432351,2,1,3,4,1
432540,1,1,5,2,4
432866,1,1,5,5,1
433226,1,5,6,4,3
433442,1,4,6,5,1
433446,1,1,2,2,1
433925,2,3,2,2,1
434025,2,2,2,1,2
434101,2,1,1,2,1
434988,1,1,6,6,2
435276,1,1,5,1,2
435708,1,1,6,6,1
436329,2,1,3,2,1
436333,2,4,1,2,4
436921,1,3,2,1,1
436932,1,4,6,3,3
437042,1,3,2,3,1
437064,1,1,4,2,4
437436,1,1,4,3,4
437469,1,1,3,2,1
438848,2,2,2,2,1
439069,2,1,2,1,1
439280,2,1,2,2,1
439319,2,1,4,4,1
439357,2,2,2,2,1
439397,2,3,3,2,1
440446,1,1,1,3,1
440631,2,4,6,5,2
440748,1,2,6,6,1
441074,1,2,6,5,1
442161,2,1,2,3,1
442260,1,3,6,4,2
442404,1,1,3,4,1
443254,1,1,6,6,1
443368,1,4,4,4,1
444261,2,2,3,2,1
444287,2,3,2,3,2
444431,2,6,1,1,4
444465,2,3,2,2,1
444591,2,1,2,2,1
445189,2,2,1,1,1
445630,1,1,1,2,1
445804,2,1,3,2,1
445879,1,4,4,3,1
446037,1,2,3,4,1
446525,2,1,3,2,2
447320,1,1,2,2,3
447344,2,1,2,2,1
447390,2,1,3,2,1
448308,1,1,3,4,1
449474,2,1,1,1,1
449477,2,1,2,1,1
449693,2,1,1,2,1
449720,2,4,1,1,2
450373,2,1,1,1,1
451221,1,4,2,3,1
451298,1,1,5,3,1
451684,2,1,3,3,1
452528,2,1,2,2,1
452738,1,1,4,4,1
452988,1,1,4,3,1
453077,2,1,2,2,1
453492,1,2,3,3,3
453664,1,1,6,6,2
453710,1,1,1,2,1
454682,1,1,6,6,1
454815,2,1,2,2,1
454832,2,1,2,2,1
454833,2,2,2,2,1
454877,2,2,1,1,2
454878,2,1,3,2,1
454917,2,4,3,2,1
454998,1,1,5,3,1
456031,1,1,3,4,1
523750,1,3,2,3,1
524214,2,2,1,2,1
524241,2,3,1,2,1
525108,2,1,1,2,1
525150,2,3,4,3,4
525818,1,1,5,5,3
526178,1,3,5,6,1
526538,1,1,6,4,1
527015,2,1,1,2,1
527375,2,1,1,2,1
527485,2,4,2,2,2
527690,1,1,6,5,4
528661,1,5,3,5,4
528976,1,6,4,4,4
528981,1,4,3,4,1
528987,1,4,1,1,1
529407,2,1,1,2,1
529544,1,3,1,2,2
529775,2,1,3,2,3
529922,1,1,4,5,1
530230,1,1,3,3,1
530277,1,6,2,2,2
530838,2,3,5,3,4
532199,2,1,1,2,1
532380,2,2,2,2,1
532442,1,1,6,5,1
532559,2,3,1,2,1
532738,1,4,1,1,2
532797,1,2,3,4,1
533325,2,1,2,2,1
533863,1,6,3,2,1
533930,2,6,6,4,2
533943,2,4,6,4,2
534591,2,1,1,2,1
534621,2,6,2,3,1
534780,1,1,6,4,1
534916,2,4,2,3,2
535428,1,1,6,4,1
535514,2,1,3,3,1
535704,1,1,2,6,1
535808,1,1,2,2,1
536618,1,4,1,2,1
537156,1,2,6,5,2
537193,1,4,1,2,1
537780,2,2,1,2,2
537994,1,1,1,1,1
538040,1,1,1,2,1
538418,1,3,3,4,1
539316,1,1,5,5,1
539838,2,2,1,2,1
539847,2,3,2,2,2
539862,1,1,2,3,2
540013,2,1,1,2,1
540122,2,1,2,2,1
540598,1,4,2,1,1
540701,2,4,1,2,1
540828,1,2,4,4,1
541260,1,1,6,6,1
541404,1,4,4,4,1
541768,1,1,5,4,1
542930,2,4,1,2,2
543160,1,1,4,4,1
543799,1,4,3,1,3
544261,2,2,6,5,2
544484,1,4,4,3,1
544489,1,4,4,4,1
545095,1,1,1,2,1
545231,2,4,4,4,2
545238,2,1,4,4,1
545815,1,1,2,2,1
545816,1,4,2,3,1
545845,2,3,1,2,2
545940,1,2,6,4,1
545973,1,1,1,2,1
546082,1,1,1,3,1
546914,1,1,5,6,1
547053,1,5,2,2,3
547094,1,4,1,1,1
547498,1,1,3,3,1
548877,2,3,2,2,2
549445,2,4,6,5,1
549938,1,3,6,6,1
550143,2,2,1,2,1
550225,1,4,2,4,2
550244,1,4,3,3,3
550468,2,1,3,3,1
550511,2,1,1,4,1
550980,1,3,6,5,2
551069,2,4,1,2,2
552295,1,1,4,4,3
553261,2,5,3,2,3
553591,1,3,1,2,2
554068,2,6,4,3,3
554527,1,1,3,3,2
555122,1,2,6,5,1
555142,1,4,4,3,1
555199,1,1,1,1,1
555335,2,4,2,3,1
555386,2,4,1,1,2
555463,1,2,1,2,1
555561,2,4,2,2,3
556292,1,5,3,3,1
556327,1,4,4,3,1
557623,1,1,2,2,1
557676,1,1,5,4,4
558588,2,1,4,2,1
558597,2,3,4,3,2
559276,2,1,2,3,1
559863,2,5,5,4,3
560080,1,1,4,5,2
560500,2,4,1,2,2
560570,2,3,1,1,2
560602,1,1,1,2,1
561592,1,5,3,3,1
561818,1,1,5,6,1
562754,1,3,5,5,4
563265,2,1,2,3,1
563277,2,5,4,3,4
563392,1,4,4,4,1
564358,1,1,4,3,1
565036,2,1,5,5,1
565238,1,4,2,6,1
565782,1,1,1,1,2
566066,1,1,6,6,1
566580,2,3,1,2,2
566709,1,1,1,2,4
566734,1,1,3,4,1
566821,1,1,4,6,4
567166,1,2,3,3,1
567173,1,1,1,2,1
567742,1,5,4,6,3
567743,1,1,1,2,2
568166,1,1,1,2,1
568340,1,1,1,4,1
568545,1,1,1,4,1
568884,2,1,1,2,1
568919,2,4,4,5,1
569022,1,6,2,2,4
569613,2,3,2,2,2
571112,2,1,2,3,1
571156,2,1,4,5,1
571415,1,1,4,6,2
571806,2,1,3,4,1
572277,2,3,2,4,1
573674,2,3,2,4,2
574077,2,3,1,2,2
574706,1,1,2,4,1
574797,2,3,2,2,1
575228,1,5,2,4,1
575365,2,2,6,6,1
576052,2,1,1,3,1
576085,2,1,1,3,1
576143,2,1,1,2,1
576252,1,1,5,5,2
576414,2,1,2,3,1
576944,2,5,2,3,4
577503,2,1,3,5,1
577980,1,1,3,5,1
578038,1,3,6,6,1
578110,1,1,2,4,1
578326,1,1,4,5,1
578871,2,3,3,6,2
579176,2,3,2,3,1
579325,2,1,2,4,1
648511,1,1,1,2,4
648585,2,3,1,1,2
648626,2,1,1,1,1
648877,2,5,1,2,3
649082,1,1,4,5,1
649370,1,1,4,2,1
649476,1,4,6,4,3
649752,1,4,1,1,1
